,item_sku_id,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd,price
273179,1433490422,1320,1585,1602,24.8
273181,1433494880,1320,1585,1602,25.8
273183,1433496989,1320,1585,1602,69.8
273184,1433497256,1320,1585,1602,24.8
273185,1433498693,1320,1585,1602,22.5
274139,1445977746,1320,1585,1602,23.7
275935,1466436598,1320,1585,1602,198.0
276231,1470285186,1320,1585,1602,9.5
276306,1470668859,1320,1585,1602,3.0
276307,1470677835,1320,1585,1602,1.8
277402,1480707212,1320,1585,1602,7.8
277438,1480925243,1320,1585,1602,138.0
277539,1481683717,1320,1585,1602,86.0
279785,1502440482,1320,1585,1602,4.0
280832,1511084019,1320,1585,1602,91.0
281107,1513047599,1320,1585,1602,60.0
281333,1514519978,1320,1585,1602,1.4
281359,1514962787,1320,1585,1602,4.2
281360,1514964491,1320,1585,1602,6.5
281889,1520174723,1320,1585,1602,4.9
283541,1539021382,1320,1585,1602,3.0
283689,1540530394,1320,1585,1602,11.9
283948,1543239768,1320,1585,1602,56.7
284141,1546009762,1320,1585,1602,11.8
284576,1548682363,1320,1585,1602,5.0
289055,1569341177,1320,1585,1602,9.9
289545,1572156355,1320,1585,1602,5.0
290325,1575841535,1320,1585,1602,4.5
291215,1580146087,1320,1585,1602,89.0
291412,1581185427,1320,1585,1602,2.49
292281,1587898297,1320,1585,1602,4.4
293846,1600861563,1320,1585,1602,7.5
293876,1601122227,1320,1585,1602,63.0
294094,1602506558,1320,1585,1602,6.0
294109,1602538472,1320,1585,1602,7.8
294124,1602588743,1320,1585,1602,6.5
294145,1602649466,1320,1585,1602,5.9
294617,1605842749,1320,1585,1602,88.0
295202,1610457068,1320,1585,1602,54.0
297601,1627733713,1320,1585,1602,57.6
300675,1652348647,1320,1585,1602,72.0
302162,1665589046,1320,1585,1602,60.9
302282,1666904411,1320,1585,1602,4.5
303078,1674442352,1320,1585,1602,57.9
307334,1708463539,1320,1585,1602,75.9
311623,1749766477,1320,1585,1602,74.0
313835,1773805252,1320,1585,1602,43.8
319429,1956906200,1320,1585,1602,89.0
319436,1956913208,1320,1585,1602,76.0
320779,1967696758,1320,1585,1602,189.0
322398,2028345,1320,1585,1602,72.9
322403,2047470,1320,1585,1602,18.0
322530,2412960,1320,1585,1602,108.0
322736,3176034,1320,1585,1602,45.0
323101,4428398,1320,1585,1602,12.0
323151,4743200,1320,1585,1602,47.34
323193,594705,1320,1585,1602,58.0
323296,852870,1320,1585,1602,3.79
323297,856827,1320,1585,1602,10.5
323335,944070,1320,1585,1602,45.9
323350,967941,1320,1585,1602,39.9
326799,10032407103,1320,1585,1602,19.5
330060,10058297140,1320,1585,1602,56.0
333499,10084433617,1320,1585,1602,58.8
345568,10153476947,1320,1585,1602,69.0
349843,1018812091,1320,1585,1602,76.0
350075,10189243821,1320,1585,1602,38.0
351047,10196458672,1320,1585,1602,4.0
353653,10216897362,1320,1585,1602,7.2
354407,10222992943,1320,1585,1602,17.0
357840,1024942106,1320,1585,1602,134.0
364278,1030402319,1320,1585,1602,6.9
364539,10310593849,1320,1585,1602,20.0
366275,1032331712,1320,1585,1602,19.0
372774,10373247703,1320,1585,1602,88.0
373072,10375407163,1320,1585,1602,323.0
375494,10388141564,1320,1585,1602,77.0
378899,10412052969,1320,1585,1602,22.0
379811,10421557682,1320,1585,1602,89.0
381331,10435353744,1320,1585,1602,80.0
384683,10468494977,1320,1585,1602,238.0
384848,10469431274,1320,1585,1602,41.5
390715,10519905478,1320,1585,1602,29.8
392068,10530045601,1320,1585,1602,128.0
400194,10597424612,1320,1585,1602,29.0
404177,10637783264,1320,1585,1602,9.9
413671,1073501374,1320,1585,1602,155.0
418795,1078497278,1320,1585,1602,158.0
425913,1085210,1320,1585,1602,39.9
427124,10865654996,1320,1585,1602,49.0
430307,10895475905,1320,1585,1602,18.0
446660,1101220785,1320,1585,1602,42.0
457475,11072900384,1320,1585,1602,49.0
485044,11201880141,1320,1585,1602,199.0
511055,11331905057,1320,1585,1602,63.8
514683,1136362313,1320,1585,1602,999999.0
515689,1137263062,1320,1585,1602,95.0
516641,1137691993,1320,1585,1602,99.0
516886,1137878992,1320,1585,1602,22.9
517824,1138742713,1320,1585,1602,71.8
517876,1138900180,1320,1585,1602,999999.0
518346,11392125177,1320,1585,1602,42.0
519902,1140311763,1320,1585,1602,23.4
522257,1141858935,1320,1585,1602,47.8
524903,1143568724,1320,1585,1602,999999.0
526600,11451614592,1320,1585,1602,28.0
526706,11452747097,1320,1585,1602,45.0
534123,11509617560,1320,1585,1602,45.8
546590,1159797545,1320,1585,1602,29.8
584643,1197198366,1320,1585,1602,700.0
585273,1213467964,1320,1585,1602,82.0
585490,1218884959,1320,1585,1602,100.0
585762,1225178726,1320,1585,1602,44.9
586046,1230032,1320,1585,1602,129.9
587335,1255868,1320,1585,1602,139.2
588005,1271242952,1320,1585,1602,55.0
588398,1278429237,1320,1585,1602,31.1
588935,1291836304,1320,1585,1602,399.0
590139,1315473506,1320,1585,1602,38.9
591312,1338893051,1320,1585,1602,128.0
591438,1341574558,1320,1585,1602,4.7
592280,1359724635,1320,1585,1602,25.0
592413,1362620483,1320,1585,1602,10.8
593556,1382979000,1320,1585,1602,100.0
594321,1400532765,1320,1585,1602,59.0
594388,1401615924,1320,1585,1602,4.1
596279,1433477604,1320,1585,1602,58.8
596286,1433495028,1320,1585,1602,20.5
596288,1433497257,1320,1585,1602,43.5
596556,1435807469,1320,1585,1602,13.55
598211,1457494883,1320,1585,1602,5.3
599302,1470089,1320,1585,1602,59.9
599333,1470275683,1320,1585,1602,11.9
599402,1470623752,1320,1585,1602,16.0
599410,1470655021,1320,1585,1602,4.3
599412,1470665695,1320,1585,1602,238.0
599973,1475646103,1320,1585,1602,2.0
600504,1480707213,1320,1585,1602,2.2
600778,1483407761,1320,1585,1602,18.0
600942,1485103849,1320,1585,1602,8.0
602890,1502446933,1320,1585,1602,4.0
603829,1510474414,1320,1585,1602,6.6
603839,1510520119,1320,1585,1602,6.6
604206,1513122987,1320,1585,1602,60.0
604281,1513645758,1320,1585,1602,11.8
604448,1514970972,1320,1585,1602,3.6
604959,1520174724,1320,1585,1602,2.5
606730,1540321340,1320,1585,1602,4.5
607431,1547611646,1320,1585,1602,71.9
608106,1551062683,1320,1585,1602,20.5
612138,1569665960,1320,1585,1602,7.0
615806,1592723730,1320,1585,1602,2.8
616266,1596351571,1320,1585,1602,85.0
616806,1600859305,1320,1585,1602,19.0
616808,1600861564,1320,1585,1602,7.5
617082,1602584142,1320,1585,1602,4.5
617103,1602641841,1320,1585,1602,3.7
620549,1627738319,1320,1585,1602,56.4
621437,1636580765,1320,1585,1602,1.0
621832,1639312093,1320,1585,1602,39.6
625134,1665589047,1320,1585,1602,50.9
625253,1666904412,1320,1585,1602,120.0
626052,1674442353,1320,1585,1602,57.9
634677,1749766478,1320,1585,1602,64.0
635447,1757568389,1320,1585,1602,39.0
636863,1773805253,1320,1585,1602,69.9
640051,1805664207,1320,1585,1602,25.0
643693,1967696759,1320,1585,1602,189.0
643898,1969297138,1320,1585,1602,28.0
645281,1994569,1320,1585,1602,70.0
645385,2290462,1320,1585,1602,57.9
645525,2801011,1320,1585,1602,111.2
645610,3068587,1320,1585,1602,66.0
645641,3165475,1320,1585,1602,156.375
645670,3248488,1320,1585,1602,75.0
645680,3273712,1320,1585,1602,78.9
645987,4323096,1320,1585,1602,19.7
646015,4505490,1320,1585,1602,72.9
646182,754810,1320,1585,1602,51.8
646213,852871,1320,1585,1602,3.89
646221,870439,1320,1585,1602,56.85
646265,962428,1320,1585,1602,45.0
650878,10041302625,1320,1585,1602,3480.0
652746,10057163580,1320,1585,1602,15.0
653729,10064600760,1320,1585,1602,45.0
653823,10065286596,1320,1585,1602,153.0
656372,10084433618,1320,1585,1602,58.8
668208,10151183143,1320,1585,1602,45.0
668209,10151183932,1320,1585,1602,38.0
668511,10153476948,1320,1585,1602,69.0
671001,10172469884,1320,1585,1602,3.9
671584,1017767966,1320,1585,1602,48.0
672003,10181936894,1320,1585,1602,65.0
672889,10189243822,1320,1585,1602,38.0
673911,10196458673,1320,1585,1602,4.0
676598,10216897363,1320,1585,1602,42.0
677354,10222992944,1320,1585,1602,17.0
677638,10225087036,1320,1585,1602,69.0
678402,10230494195,1320,1585,1602,300.0
684236,10274275989,1320,1585,1602,237.6
687363,1030478670,1320,1585,1602,72.0
692259,1034766845,1320,1585,1602,10.0
694332,10362919708,1320,1585,1602,39.9
695863,10373247704,1320,1585,1602,45.5
698573,10388144205,1320,1585,1602,100.0
701991,10412340175,1320,1585,1602,188.0
703770,1043079112,1320,1585,1602,50.0
704411,10435353745,1320,1585,1602,192.0
707782,10468494978,1320,1585,1602,238.0
709259,10484527128,1320,1585,1602,3.2
715120,10530045602,1320,1585,1602,19.0
716578,10538962561,1320,1585,1602,55.0
722213,1058539315,1320,1585,1602,27.8
723004,1059468562,1320,1585,1602,25.8
723552,10600623123,1320,1585,1602,68.0
724497,10611115169,1320,1585,1602,25.0
727888,1064377235,1320,1585,1602,1972.0
728662,10649400482,1320,1585,1602,58.9
729541,10659760954,1320,1585,1602,54.9
732463,10690316921,1320,1585,1602,26.18
735165,1071833937,1320,1585,1602,96.0
749006,1085211,1320,1585,1602,32.9
750381,10867006079,1320,1585,1602,150.0
758381,1093959534,1320,1585,1602,199.0
761432,10962156552,1320,1585,1602,98.0
767059,10991216872,1320,1585,1602,398.0
768210,1100090621,1320,1585,1602,72.8
768211,1100091149,1320,1585,1602,43.9
784999,1109766,1320,1585,1602,80.9
787362,1111312039,1320,1585,1602,73.5
801365,11171975772,1320,1585,1602,159.9
814303,1122154475,1320,1585,1602,28.0
836789,11355112908,1320,1585,1602,52.8
837680,1136165373,1320,1585,1602,999999.0
837758,1136365191,1320,1585,1602,27.8
838367,1136744787,1320,1585,1602,63.0
838715,1137202640,1320,1585,1602,4.5
838780,1137263063,1320,1585,1602,6.1
838958,1137361268,1320,1585,1602,108.0
849843,11452733400,1320,1585,1602,50.0
849879,11453460981,1320,1585,1602,65.78
859079,1152735219,1320,1585,1602,27.0
860745,1154082830,1320,1585,1602,44.4
862864,1155415181,1320,1585,1602,2.5
868475,1158972315,1320,1585,1602,4.8
881382,1167277296,1320,1585,1602,2.6
907673,1192561173,1320,1585,1602,6.2
907970,1202413173,1320,1585,1602,43.5
908566,1217653986,1320,1585,1602,6.8
909222,1230033,1320,1585,1602,274.9
909250,1230265717,1320,1585,1602,222.0
910565,1257163584,1320,1585,1602,32.4
910970,1267013204,1320,1585,1602,55.5
911092,1268864074,1320,1585,1602,4.5
911162,1271242953,1320,1585,1602,55.0
911510,1277634,1320,1585,1602,340.0
911563,1278429238,1320,1585,1602,36.0
912005,1288753170,1320,1585,1602,6.8
912035,1289155955,1320,1585,1602,1698.0
912108,1291836305,1320,1585,1602,139.0
912624,1304237581,1320,1585,1602,49.5
912899,1309665389,1320,1585,1602,3.5
914031,1331817903,1320,1585,1602,3.6
915417,1359724636,1320,1585,1602,48.0
915568,1362620484,1320,1585,1602,10.8
916800,1385094354,1320,1585,1602,3.9
916943,1389975772,1320,1585,1602,62.5
916959,1390151659,1320,1585,1602,1.8
917776,1408280089,1320,1585,1602,19.9
918087,1415065750,1320,1585,1602,79.2
919390,1433467837,1320,1585,1602,3.3
919405,1433490280,1320,1585,1602,9.8
919408,1433498695,1320,1585,1602,57.0
919683,1435992759,1320,1585,1602,5.29
920289,1445074733,1320,1585,1602,28.0
920721,1450720551,1320,1585,1602,3.0
920727,1450741404,1320,1585,1602,1.8
922198,1466439096,1320,1585,1602,149.0
922638,1471435942,1320,1585,1602,1.15
923105,1475679980,1320,1585,1602,7.8
923285,1477785869,1320,1585,1602,6.2
923324,1478098636,1320,1585,1602,2.4
923628,1480707214,1320,1585,1602,3.6
924054,1485099299,1320,1585,1602,6.9
924375,1488402306,1320,1585,1602,1.7
925389,1497779082,1320,1585,1602,11.5
925990,1502210720,1320,1585,1602,3.5
926025,1502448518,1320,1585,1602,5.9
926061,1502626835,1320,1585,1602,3.5
926521,1505916832,1320,1585,1602,75.0
927225,1512272116,1320,1585,1602,18.6
927335,1513045900,1320,1585,1602,60.0
927348,1513122988,1320,1585,1602,60.0
928112,1520174725,1320,1585,1602,3.0
928801,1529077924,1320,1585,1602,14.9
929798,1539020736,1320,1585,1602,4.5
930562,1547357796,1320,1585,1602,54.0
931136,1550445686,1320,1585,1602,25.0
931516,1552390546,1320,1585,1602,7.2
935312,1569665961,1320,1585,1602,148.0
935763,1572250080,1320,1585,1602,6.0
936528,1575836494,1320,1585,1602,55.0
936529,1575839923,1320,1585,1602,44.6
936673,1576432927,1320,1585,1602,7.9
938199,1585673814,1320,1585,1602,90.0
938281,1586529558,1320,1585,1602,38.8
940019,1600527377,1320,1585,1602,7.5
940249,1602297586,1320,1585,1602,45.0
940335,1602595228,1320,1585,1602,25.0
940343,1602639964,1320,1585,1602,9.9
940350,1602654631,1320,1585,1602,6.5
940778,1605712107,1320,1585,1602,29.8
942366,1616897141,1320,1585,1602,8.0
943863,1628314812,1320,1585,1602,66.0
943898,1628846676,1320,1585,1602,73.85
943924,1629081201,1320,1585,1602,31.9
944254,1632362687,1320,1585,1602,16.5
945119,1639312883,1320,1585,1602,138.0
948321,1665029203,1320,1585,1602,108.0
949300,1674442354,1320,1585,1602,57.9
951477,1694455886,1320,1585,1602,4.9
951727,1696423984,1320,1585,1602,208.0
957054,1738912702,1320,1585,1602,18.0
957881,1749766479,1320,1585,1602,64.0
959601,1767191378,1320,1585,1602,27.5
960148,1773805254,1320,1585,1602,69.9
968518,2270021,1320,1585,1602,42.5
968560,2363183,1320,1585,1602,14.9
968780,3176036,1320,1585,1602,45.0
968948,3747005,1320,1585,1602,27.0
968966,3778388,1320,1585,1602,0.01
969197,4743202,1320,1585,1602,47.34
969311,754811,1320,1585,1602,51.8
969338,852872,1320,1585,1602,4.1
969377,943424,1320,1585,1602,59.9
969386,962429,1320,1585,1602,3.8
969389,967943,1320,1585,1602,39.9
969396,996716,1320,1585,1602,335.0
969831,10002969172,1320,1585,1602,58.0
970304,1000762333,1320,1585,1602,28.0
970805,1001431470,1320,1585,1602,175.0
974630,1004549981,1320,1585,1602,39.0
975955,10057163581,1320,1585,1602,15.0
978285,10075364805,1320,1585,1602,9.0
979671,10084433619,1320,1585,1602,58.8
980390,10087973569,1320,1585,1602,58.0
983048,10106331073,1320,1585,1602,75.0
983434,10108101582,1320,1585,1602,226.0
984183,10111431377,1320,1585,1602,62.0
989622,10137954034,1320,1585,1602,39.9
991878,10153476949,1320,1585,1602,69.0
994098,10168988194,1320,1585,1602,77.0
994482,10172469885,1320,1585,1602,57.0
995643,1018385757,1320,1585,1602,16.8
996375,10189243823,1320,1585,1602,38.0
997850,1019916758,1320,1585,1602,68.0
999066,10209027473,1320,1585,1602,39.5
1000089,10216897364,1320,1585,1602,84.5
1000863,10222992945,1320,1585,1602,17.0
1001899,10230494196,1320,1585,1602,200.0
1002658,1023696703,1320,1585,1602,58.0
1002791,10238161968,1320,1585,1602,84.0
1010179,10296191378,1320,1585,1602,9.6
1013025,10326364965,1320,1585,1602,120.0
1013493,10330333559,1320,1585,1602,49.0
1015469,10346808926,1320,1585,1602,61.8
1015603,1034812815,1320,1585,1602,28.9
1019105,10373247705,1320,1585,1602,91.0
1019589,10376335247,1320,1585,1602,268.0
1021355,10385590787,1320,1585,1602,4.9
1028945,10447687044,1320,1585,1602,96.0
1030668,10464936312,1320,1585,1602,56.5
1031074,10468494979,1320,1585,1602,8.9
1033417,10495755111,1320,1585,1602,67.0
1038346,10530045603,1320,1585,1602,49.0
1039984,10540421282,1320,1585,1602,1200.0
1040113,10541596402,1320,1585,1602,10.0
1040595,10546137686,1320,1585,1602,169.0
1041469,10554184700,1320,1585,1602,58.0
1041731,10555649543,1320,1585,1602,67.0
1043533,10570947617,1320,1585,1602,79.0
1045965,10592283849,1320,1585,1602,299.0
1046190,1059470177,1320,1585,1602,19.1875
1050194,1063473847,1320,1585,1602,4.0
1051932,10649400483,1320,1585,1602,29.9
1052781,10659741686,1320,1585,1602,34.0
1055886,10692032927,1320,1585,1602,157.196875
1065970,10793236002,1320,1585,1602,29.9
1070249,10832320822,1320,1585,1602,35.0
1072176,10850040946,1320,1585,1602,59.0
1073565,10866305541,1320,1585,1602,67.2
1076381,1089325137,1320,1585,1602,59.0
1076668,10895511175,1320,1585,1602,53.0
1078758,1091361923,1320,1585,1602,48.0
1079255,10918219745,1320,1585,1602,72.0
1079258,10918235204,1320,1585,1602,68.0
1082618,10948364013,1320,1585,1602,19.9
1084042,1095856878,1320,1585,1602,267.0
1085289,1096548969,1320,1585,1602,79.9
1085811,10967268770,1320,1585,1602,60.0
1090125,10991216873,1320,1585,1602,298.0
1112881,11127234947,1320,1585,1602,43.8
1118571,11151437864,1320,1585,1602,16.9
1132069,1120456039,1320,1585,1602,33.6
1147991,1126779950,1320,1585,1602,7.9
1151147,11289927703,1320,1585,1602,49.0
1160095,11355112909,1320,1585,1602,52.8
1161574,1136670106,1320,1585,1602,999999.0
1161692,1136744788,1320,1585,1602,3.75
1173165,11452744342,1320,1585,1602,39.9
1173166,11452745134,1320,1585,1602,49.0
1174492,11466109328,1320,1585,1602,249.0
1175715,11475995071,1320,1585,1602,75.0
1184813,11544818838,1320,1585,1602,75.0
1185759,11551858306,1320,1585,1602,87.5
1194316,1160668951,1320,1585,1602,72.0
1200578,1165092779,1320,1585,1602,23.8
1213267,11725754777,1320,1585,1602,20.0
1214558,1173348329,1320,1585,1602,63.0
1232280,1230034,1320,1585,1602,274.9
1232630,1236518388,1320,1585,1602,208.0
1232635,1236568659,1320,1585,1602,128.0
1233648,1258637940,1320,1585,1602,9.9
1233790,1262964977,1320,1585,1602,60.0
1233825,1263710296,1320,1585,1602,7.0
1234114,1268764166,1320,1585,1602,5.6
1234187,1271242954,1320,1585,1602,55.0
1234534,1277635,1320,1585,1602,14.0
1234573,1278225608,1320,1585,1602,2.9
1234594,1278470684,1320,1585,1602,32.0
1234766,1283047662,1320,1585,1602,4.3
1235042,1288753171,1320,1585,1602,6.8
1235160,1291836306,1320,1585,1602,399.0
1236366,1315474945,1320,1585,1602,8.5
1238183,1353060313,1320,1585,1602,169.0
1238467,1359724637,1320,1585,1602,138.0
1238602,1362620485,1320,1585,1602,10.8
1241756,1423647950,1320,1585,1602,39.5
1242390,1433467049,1320,1585,1602,2.6
1242391,1433467694,1320,1585,1602,3.0
1242392,1433467838,1320,1585,1602,3.8
1242397,1433479046,1320,1585,1602,5.0
1242402,1433492009,1320,1585,1602,8.9
1243320,1445883387,1320,1585,1602,6.9
1243674,1450740613,1320,1585,1602,3.5
1243675,1450741786,1320,1585,1602,2.4
1244164,1456678208,1320,1585,1602,60.0
1244283,1457494885,1320,1585,1602,4.5
1245250,1468205412,1320,1585,1602,6.2
1245438,1470458082,1320,1585,1602,8.0
1245562,1471435943,1320,1585,1602,1.3
1245576,1471503149,1320,1585,1602,5.8
1245644,1472258420,1320,1585,1602,319.9
1246240,1477778862,1320,1585,1602,10.0
1246575,1480707215,1320,1585,1602,2.8
1247149,1486385864,1320,1585,1602,225.0
1247186,1486747895,1320,1585,1602,3.9
1247248,1487245190,1320,1585,1602,3.5
1247279,1487943137,1320,1585,1602,50.0
1248965,1502446935,1320,1585,1602,4.0
1249575,1506731420,1320,1585,1602,89.0
1249951,1510706973,1320,1585,1602,20.0
1250086,1511375826,1320,1585,1602,9.6
1250185,1512282530,1320,1585,1602,45.6
1250545,1514958422,1320,1585,1602,6.5
1250547,1514965286,1320,1585,1602,4.8
1251090,1520178803,1320,1585,1602,3.5
1252710,1538378479,1320,1585,1602,26.8
1252783,1539020737,1320,1585,1602,3.9
1252895,1540359178,1320,1585,1602,18.0
1253593,1547576095,1320,1585,1602,4.8
1253598,1547588236,1320,1585,1602,6.9
1254255,1551041976,1320,1585,1602,1.4
1256114,1560064568,1320,1585,1602,12.6
1257839,1567482503,1320,1585,1602,7.0
1259359,1575327713,1320,1585,1602,79.0
1259480,1575830978,1320,1585,1602,2.2
1259571,1576243001,1320,1585,1602,27.5
1260952,1584213605,1320,1585,1602,38.8
1262938,1600527378,1320,1585,1602,11.8
1263157,1602297587,1320,1585,1602,53.0
1263202,1602507473,1320,1585,1602,4.0
1263247,1602638528,1320,1585,1602,3.5
1263679,1605712108,1320,1585,1602,29.8
1268366,1642614698,1320,1585,1602,30.0
1272167,1674442355,1320,1585,1602,57.9
1280699,1749765952,1320,1585,1602,49.0
1280986,1752873114,1320,1585,1602,108.0
1281628,1758904737,1320,1585,1602,135.0
1286223,1807852567,1320,1585,1602,14.5
1288989,1962624153,1320,1585,1602,157.0
1291269,2290464,1320,1585,1602,45.0
1291419,2801013,1320,1585,1602,95.4
1291428,2810370,1320,1585,1602,75.0
1291458,2940633,1320,1585,1602,59.0
1291470,2981784,1320,1585,1602,49.0
1291507,3068589,1320,1585,1602,85.74375
1291673,3644457,1320,1585,1602,72.0
1291734,3865773,1320,1585,1602,59.95
1292124,967944,1320,1585,1602,34.5
1292125,968211,1320,1585,1602,7.5
1293093,1000822409,1320,1585,1602,240.0
1298686,10056744317,1320,1585,1602,42.0
1298688,1005676173,1320,1585,1602,66.0
1298722,1005699255,1320,1585,1602,65.0
1298744,10057163582,1320,1585,1602,15.0
1301041,10075364806,1320,1585,1602,40.0
1314211,1015091948,1320,1585,1602,192.0
1319542,1019273601,1320,1585,1602,32.0
1320895,10202241633,1320,1585,1602,35.0
1321193,10204575275,1320,1585,1602,418.0
1321803,1020969993,1320,1585,1602,58.0
1322204,10212684974,1320,1585,1602,88.0
1322695,10216897365,1320,1585,1602,168.8
1323115,1022027828,1320,1585,1602,198.0
1326664,10247931474,1320,1585,1602,86.0
1327513,10254454357,1320,1585,1602,107.6875
1329469,10266738698,1320,1585,1602,39.0
1329600,1026769579,1320,1585,1602,33.0
1333345,1030574648,1320,1585,1602,27.0
1333829,10312366585,1320,1585,1602,59.9
1334299,10315834001,1320,1585,1602,69.0
1337943,1034633563,1320,1585,1602,16.8
1338178,1034829274,1320,1585,1602,13.5
1338220,1034866756,1320,1585,1602,16.0
1341884,10375183699,1320,1585,1602,147.0
1342156,10376476716,1320,1585,1602,50.0
1343033,10381261462,1320,1585,1602,50.0
1344028,10386143387,1320,1585,1602,172.0
1344375,10388141042,1320,1585,1602,40.0
1348601,1042048102,1320,1585,1602,6.2
1352876,10463775391,1320,1585,1602,189.0
1353040,10464936313,1320,1585,1602,201.9375
1353691,10470686974,1320,1585,1602,67.0
1355341,10491067037,1320,1585,1602,59.9
1355812,10495920376,1320,1585,1602,65.0
1360337,1052715465,1320,1585,1602,68.0
1360753,10530045604,1320,1585,1602,19.0
1362430,10540421283,1320,1585,1602,1980.0
1362563,10541596403,1320,1585,1602,10.0
1364213,1055609495,1320,1585,1602,6.0
1366874,10577067744,1320,1585,1602,39.9
1368708,1059578766,1320,1585,1602,24.0
1372671,10635440124,1320,1585,1602,19.8
1374313,10649400484,1320,1585,1602,2.5
1375070,10658667999,1320,1585,1602,58.8
1382781,1073869558,1320,1585,1602,6.9
1385176,1076182764,1320,1585,1602,8.9
1387933,1079042126,1320,1585,1602,50.0
1391985,10827887896,1320,1585,1602,13.09
1392579,10832274209,1320,1585,1602,61.0
1392883,10834168357,1320,1585,1602,15.8
1403806,1093904660,1320,1585,1602,10.0
1408197,10967268771,1320,1585,1602,80.0
1412654,10991579805,1320,1585,1602,52.6
1413584,10998049176,1320,1585,1602,50.0
1415664,11015546139,1320,1585,1602,120.0
1428835,11087714762,1320,1585,1602,33.9
1431804,1110557349,1320,1585,1602,200.0
1435257,11127234948,1320,1585,1602,129.0
1440915,11151437865,1320,1585,1602,32.9
1441727,11157128686,1320,1585,1602,109.0
1441905,1115833921,1320,1585,1602,11.9
1445556,1116664971,1320,1585,1602,98.0
1463823,11237823601,1320,1585,1602,58.0
1482807,11358242923,1320,1585,1602,79.9
1493324,11432136607,1320,1585,1602,27.9
1493733,1143562277,1320,1585,1602,999999.0
1495543,11452749737,1320,1585,1602,29.0
